Light Intensity, Ch A vs Actual Angular Position, Run #4
Actual Angular Position (  )	Light Intensity, Ch A ( % max )
1.091	3.8
1.093	4.5
1.096	5.4
1.098	6.7
1.101	8.8
1.104	13.1
1.107	97.1
1.112	97.0
1.117	97.0
1.122	45.6
1.125	11.9
1.129	9.1
1.131	7.6
1.133	7.0
1.134	6.3
1.136	5.9
1.138	5.3
1.140	4.8
1.142	4.2
1.144	3.5
1.147	3.0
1.149	2.6
1.152	2.2
1.156	2.1
1.159	1.8
1.162	1.7
1.165	1.5
1.167	1.4
1.170	1.2
1.172	1.2
1.174	0.9
1.177	0.8
1.179	0.6
1.182	0.4
1.184	0.3
1.187	0.3
1.190	0.2
1.192	0.2
1.193	0.2
1.194	0.2
1.194	0.2
1.196	0.2
1.198	0.2
1.201	0.1
1.204	0.1
1.207	0.1
1.211	0.1
1.215	0.1
1.218	0.0
1.222	0.1
1.226	0.0
1.229	0.0
1.231	-0.1
1.234	0.0
1.237	-0.1
1.240	0.0
1.244	0.0
1.247	0.0
1.250	0.0
1.253	0.0
1.255	0.0
1.257	0.0
1.260	0.0
1.263	0.0
1.265	0.0
1.266	0.0
1.268	0.0
1.269	0.0
1.270	0.0
1.271	0.0
1.273	0.0
1.275	0.0
1.277	0.0
1.278	0.0
1.280	0.0
1.281	0.0
1.283	0.0
1.285	0.0
1.286	0.0
1.287	0.0
1.287	0.0
1.288	-0.1
1.289	-0.1
1.290	-0.1
1.291	-0.2
1.292	-0.2
1.292	-0.2
1.293	-0.1
1.294	0.0
1.295	0.0
1.296	-0.1
1.297	-0.1
1.298	-0.1
1.299	0.0
1.300	0.0
1.301	0.0
1.302	-0.1
1.303	-0.1
1.304	0.0
1.306	-0.1
1.306	-0.1
1.308	-0.1
1.309	-0.1
1.311	-0.2
1.312	-0.2
1.313	-0.2
1.314	-0.1
1.316	0.0
1.317	0.0
1.318	-0.1
1.319	-0.1
1.319	0.0
1.320	0.0
1.322	-0.1
1.323	-0.1
1.325	-0.1
1.327	-0.1
1.329	0.0
1.332	-0.1
1.334	-0.1
1.335	-0.1
1.336	-0.1
1.338	-0.1
1.340	0.0
1.341	-0.1
1.343	0.0
1.344	-0.1
1.345	-0.2
1.347	0.0
1.348	0.0
1.349	0.0
1.351	0.0
1.352	0.0
1.353	0.0
1.354	0.0
1.356	0.0
1.358	0.0
1.359	0.0
1.361	0.0
1.363	0.0
1.366	0.1
1.368	0.1
1.369	0.0
1.370	0.0
1.371	0.0
1.372	0.0
1.373	0.0
1.374	0.0
1.376	0.0
1.378	0.1
1.380	0.3
1.380	0.5
1.380	0.5
1.382	0.4
1.384	0.3
1.386	0.1
1.386	0.0
1.386	0.0
1.388	0.0
1.389	-0.1
1.389	0.0
1.389	-0.1
1.389	-0.1
1.389	-0.2
1.390	0.0
1.391	0.0
1.393	0.0
1.396	0.0
1.398	0.0
1.400	0.0
1.401	0.0
1.402	0.0
1.404	0.0
1.405	0.0
1.406	0.1
1.408	0.7
1.409	2.0
1.411	3.2
1.413	3.8
1.415	2.4
1.418	0.7
1.420	0.1
1.423	0.0
1.425	0.0
1.428	0.0
1.430	0.0
1.432	0.0
1.433	0.0
1.435	0.0
1.436	-0.1
1.437	-0.1
1.439	-0.2
1.441	0.0
1.443	0.0
1.445	0.0
1.448	0.0
1.449	0.0
1.451	0.0
1.453	0.0
1.454	0.0
1.456	0.0
1.457	0.0
1.459	0.0
1.461	0.0
1.463	0.0
1.465	-0.1
1.467	-0.1
1.468	-0.1
1.470	0.0
1.472	0.0
1.473	0.0
1.476	0.0
1.478	0.0
1.480	0.0
1.483	0.0
1.486	0.0
1.489	0.0
1.492	0.0
1.495	0.0
1.499	0.0
1.502	0.1
1.507	0.1
1.510	0.2
1.513	0.3
1.515	0.5
1.518	5.8
1.521	28.1
1.525	36.1
1.528	10.0
1.531	1.3
1.533	0.4
1.535	0.3
1.537	0.2
1.540	0.2
1.543	0.1
1.546	0.1
1.550	0.0
1.553	0.0
1.556	-0.1
1.559	-0.1
1.562	0.0
1.565	0.0
1.569	0.0
1.572	0.0
1.575	0.0
1.577	0.0
1.581	-0.2
1.585	-0.2
1.589	-0.1
1.593	0.0
1.596	-0.1
1.597	-0.1
1.598	-0.1
1.599	-0.1
1.601	-0.1
1.602	0.0
1.603	0.0
1.606	0.0
1.611	-0.2
1.616	-0.3
1.623	-0.2
1.628	-0.1
1.633	-0.1
1.639	-0.1
1.644	-0.1
1.649	-0.1
1.654	0.0
1.658	-0.1
1.663	-0.1
1.667	-0.1
1.671	-0.1
1.675	-0.1
1.679	-0.3
1.684	-0.2
1.688	-0.1
1.693	-0.1
1.696	-0.1
1.700	-0.1
1.704	-0.1
1.707	-0.1
1.710	-0.1
1.712	-0.1
1.714	-0.1
1.717	-0.1
1.721	-0.1
1.726	-0.1
1.731	-0.1
1.734	-0.1
1.737	-0.1
1.739	-0.1
1.742	-0.1
1.745	0.0
1.749	0.2
1.752	0.1
1.756	-0.1
1.759	-0.1
1.762	-0.1
1.767	-0.1
1.772	-0.3
1.777	-0.3
1.783	-0.2
1.787	-0.1
1.792	-0.2
1.796	-0.3
1.800	-0.2
1.803	-0.2
1.808	-0.2
1.812	-0.2
1.818	-0.1
1.823	-0.1
1.828	-0.1
1.835	-0.1
1.844	-0.1
1.852	-0.2
1.859	-0.1
1.865	-0.2
1.870	-0.1
1.873	-0.2
1.874	-0.2
1.875	-0.2
1.877	-0.2
1.880	-0.2
1.883	-0.2
1.887	-0.2
1.892	-0.3
1.895	-0.3
1.898	-0.2
1.903	-0.2
1.907	-0.2
1.912	-0.1
1.918	-0.1
1.923	-0.2
1.929	-0.2
1.934	-0.1
1.940	-0.1
1.944	-0.2
1.948	-0.2
1.952	-0.2
1.955	-0.2
1.960	-0.2
1.966	-0.2
1.971	-0.2
